Subject number,Word recall result day 1,Study words
61,0,'כתר'
61,0,'מדבקה'
61,1,'מדשאה'
61,1,'עציץ'
61,1,'מכללה'
61,1,'דגן'
61,0,'דיג'
61,0,'עגלה'
61,1,'גבעה'
61,0,'כובע'
61,0,'ביצה'
61,0,'קלסר'
61,0,'מכולת'
61,0,'מדרכה'
61,0,'חליל'
61,0,'דגל'
61,1,'מכתבה'
61,0,'שליח'
62,1,'כתר'
62,1,'מקלדת'
62,1,'שלט'
62,1,'דיג'
62,0,'מכנס'
62,0,'מדשאה'
62,0,'מכולת'
62,0,'רמקול'
62,1,'תירס'
62,0,'שליח'
62,0,'ביצה'
62,0,'מלתחה'
62,0,'עציץ'
62,0,'כובע'
62,0,'קלסר'
62,0,'גבעה'
62,1,'שדכן'
62,1,'חליל'
62,0,'מדרכה'
62,0,'דגן'
62,0,'חמאה'
62,1,'עגלה'
62,1,'מדבקה'
62,0,'דפדפת'
62,0,'שמפו'
62,0,'ארון'
62,0,'מחק'
62,0,'כיסא'
62,1,'מכתבה'
62,0,'דגל'
62,0,'בלון'
62,1,'מכללה'
63,0,'מלתחה'
63,0,'מכנס'
63,0,'כובע'
63,0,'שליח'
63,1,'מדבקה'
63,1,'קלסר'
63,1,'מכללה'
63,0,'חליל'
63,1,'דפדפת'
63,1,'ארון'
63,0,'בלון'
63,0,'דגן'
63,0,'דגל'
63,0,'עציץ'
63,0,'דיג'
63,0,'רמקול'
63,1,'כיסא'
63,1,'שלט'
63,1,'גבעה'
63,1,'מדשאה'
63,1,'שדכן'
63,0,'עגלה'
63,1,'תירס'
63,1,'מכולת'
63,0,'מחק'
63,1,'מקלדת'
63,0,'מכתבה'
63,0,'כתר'
63,0,'שמפו'
63,0,'ביצה'
63,1,'חמאה'
63,0,'מדרכה'
64,1,'עגלה'
64,0,'מלתחה'
64,1,'שליח'
64,1,'מקלדת'
64,1,'כתר'
64,0,'שלט'
64,1,'רמקול'
64,0,'תירס'
64,0,'דפדפת'
64,0,'שדכן'
64,0,'גבעה'
64,1,'ביצה'
64,1,'כובע'
64,0,'דיג'
64,0,'עציץ'
64,0,'מכולת'
64,1,'מכנס'
64,1,'מכללה'
64,1,'דגל'
64,1,'מדבקה'
64,1,'מדרכה'
64,1,'מדשאה'
64,1,'כיסא'
64,1,'דגן'
64,0,'חליל'
64,0,'קלסר'
64,1,'חמאה'
64,1,'ארון'
64,1,'בלון'
64,0,'שמפו'
64,0,'מחק'
64,1,'מכתבה'
65,0,'שליח'
65,0,'בלון'
65,0,'דיג'
65,0,'כובע'
65,0,'חליל'
65,0,'עגלה'
65,0,'רמקול'
65,0,'מלתחה'
65,0,'ביצה'
65,0,'דגל'
65,0,'מדשאה'
65,0,'מכולת'
65,0,'עציץ'
65,1,'מקלדת'
65,0,'כתר'
65,0,'קלסר'
65,1,'מכללה'
65,1,'מחק'
65,0,'חמאה'
65,0,'גבעה'
65,0,'דפדפת'
65,0,'מדרכה'
65,0,'מדבקה'
65,0,'שמפו'
65,1,'מכתבה'
65,1,'דגן'
65,0,'שלט'
65,0,'שדכן'
65,1,'תירס'
65,0,'מכנס'
65,0,'ארון'
65,0,'כיסא'
66,1,'חמאה'
66,1,'שדכן'
66,1,'כובע'
66,1,'דפדפת'
66,0,'ביצה'
66,0,'שלט'
66,0,'מכתבה'
66,0,'בלון'
66,0,'כתר'
66,0,'עגלה'
66,0,'רמקול'
66,0,'מדבקה'
66,0,'שמפו'
66,0,'תירס'
66,1,'מקלדת'
66,1,'דיג'
66,1,'כיסא'
66,0,'מדשאה'
66,0,'עציץ'
66,0,'מחק'
66,0,'דגל'
66,0,'מלתחה'
66,0,'שליח'
66,0,'מדרכה'
66,0,'מכללה'
66,0,'חליל'
66,0,'מכנס'
66,1,'קלסר'
66,0,'מכולת'
66,0,'דגן'
66,0,'גבעה'
66,0,'ארון'
67,0,'מכולת'
67,0,'שדכן'
67,1,'ביצה'
67,1,'עגלה'
67,0,'מכתבה'
67,0,'עציץ'
67,1,'תירס'
67,0,'מכללה'
67,0,'שלט'
67,0,'כתר'
67,1,'דפדפת'
67,0,'מדרכה'
67,0,'חמאה'
67,0,'בלון'
67,0,'מחק'
67,0,'כיסא'
67,1,'קלסר'
67,1,'מדבקה'
67,1,'מלתחה'
67,1,'כובע'
67,1,'רמקול'
67,1,'ארון'
67,0,'מדשאה'
67,0,'דגן'
67,1,'שליח'
67,1,'שמפו'
67,0,'מכנס'
67,0,'גבעה'
67,0,'דגל'
67,0,'מקלדת'
67,0,'חליל'
67,0,'דיג'
68,0,'דגן'
68,0,'דגל'
68,0,'מכללה'
68,0,'עציץ'
68,0,'תירס'
68,1,'מדבקה'
68,1,'מדשאה'
68,0,'כיסא'
68,0,'דיג'
68,0,'מדרכה'
68,0,'עגלה'
68,0,'ארון'
68,0,'גבעה'
68,0,'חמאה'
68,1,'מלתחה'
68,0,'קלסר'
68,0,'שליח'
68,0,'שלט'
68,0,'חליל'
68,0,'דפדפת'
68,1,'מחק'
68,0,'כתר'
68,1,'מכתבה'
68,0,'שדכן'
68,1,'ביצה'
68,0,'שמפו'
68,0,'רמקול'
68,0,'כובע'
68,0,'מכולת'
68,0,'מכנס'
68,1,'מקלדת'
68,1,'בלון'
69,0,'כיסא'
69,0,'מכללה'
69,1,'בלון'
69,0,'שמפו'
69,0,'קלסר'
69,0,'מדרכה'
69,0,'כתר'
69,0,'מדבקה'
69,0,'מלתחה'
69,0,'ביצה'
69,0,'עגלה'
69,0,'דפדפת'
69,1,'שלט'
69,1,'דיג'
69,0,'שליח'
69,0,'חליל'
69,1,'חמאה'
69,1,'כובע'
69,1,'תירס'
69,1,'מכולת'
69,1,'מקלדת'
69,0,'מחק'
69,0,'דגן'
69,1,'עציץ'
69,0,'רמקול'
69,1,'דגל'
69,0,'שדכן'
69,0,'גבעה'
69,1,'מדשאה'
69,1,'מכנס'
69,1,'מכתבה'
69,0,'ארון'
70,1,'ארון'
70,0,'חליל'
70,0,'שמפו'
70,1,'מקלדת'
70,1,'בלון'
70,0,'כובע'
70,0,'דגל'
70,1,'מדשאה'
70,0,'שדכן'
70,0,'כתר'
70,1,'מכנס'
70,0,'שליח'
70,0,'מכתבה'
70,0,'מדרכה'
70,1,'דיג'
70,0,'מדבקה'
70,1,'קלסר'
70,0,'עציץ'
70,1,'גבעה'
70,0,'תירס'
70,1,'דפדפת'
70,0,'ביצה'
70,0,'מכולת'
70,0,'חמאה'
70,0,'דגן'
70,0,'רמקול'
70,0,'שלט'
70,0,'מכללה'
70,0,'מחק'
70,0,'כיסא'
70,0,'מלתחה'
70,0,'עגלה'
72,0,'מכתבה'
72,0,'קלסר'
72,0,'דגל'
72,0,'מכולת'
72,0,'חליל'
72,0,'כיסא'
72,0,'ביצה'
72,0,'בלון'
72,0,'דפדפת'
72,0,'שמפו'
72,0,'מדרכה'
72,1,'מחק'
72,0,'עגלה'
72,1,'מקלדת'
72,0,'שליח'
72,0,'דגן'
72,1,'תירס'
72,0,'עציץ'
72,0,'רמקול'
72,0,'מלתחה'
72,0,'כובע'
72,0,'חמאה'
72,0,'דיג'
72,0,'שדכן'
72,0,'מדבקה'
72,0,'מכללה'
72,0,'מדשאה'
72,0,'מכנס'
72,1,'כתר'
72,0,'ארון'
72,0,'גבעה'
72,0,'שלט'
73,1,'תירס'
73,0,'מדשאה'
73,0,'מכנס'
73,0,'שליח'
73,1,'דגן'
73,1,'מכללה'
73,0,'מכולת'
73,0,'קלסר'
73,0,'כובע'
73,0,'שמפו'
73,0,'ביצה'
73,0,'מחק'
73,0,'מלתחה'
73,0,'גבעה'
73,0,'שלט'
73,0,'רמקול'
73,0,'ארון'
73,0,'חליל'
73,0,'עציץ'
73,1,'מכתבה'
73,0,'דפדפת'
73,0,'מקלדת'
73,0,'מדבקה'
73,0,'כתר'
73,0,'חמאה'
73,0,'עגלה'
73,0,'בלון'
73,0,'שדכן'
73,0,'דגל'
73,0,'דיג'
73,0,'כיסא'
73,0,'מדרכה'
74,1,'מכולת'
74,1,'רמקול'
74,1,'מכללה'
74,1,'חמאה'
74,1,'עציץ'
74,0,'בלון'
74,1,'דגל'
74,1,'חליל'
74,0,'דיג'
74,1,'שדכן'
74,0,'מלתחה'
74,0,'דגן'
74,0,'כיסא'
74,0,'מכנס'
74,0,'ביצה'
74,0,'מדשאה'
74,1,'מקלדת'
74,0,'ארון'
74,1,'קלסר'
74,1,'שמפו'
74,0,'דפדפת'
74,1,'תירס'
74,0,'מדרכה'
74,0,'שלט'
74,0,'מדבקה'
74,0,'שליח'
74,1,'מחק'
74,0,'עגלה'
74,0,'כובע'
74,0,'מכתבה'
74,1,'כתר'
74,0,'גבעה'
75,1,'ביצה'
75,0,'שמפו'
75,0,'מדרכה'
75,0,'דפדפת'
75,0,'מכתבה'
75,0,'מכנס'
75,0,'כתר'
75,0,'חמאה'
75,0,'כיסא'
75,0,'שלט'
75,0,'מדבקה'
75,0,'דיג'
75,0,'קלסר'
75,0,'תירס'
75,0,'מכללה'
75,0,'בלון'
75,1,'דגל'
75,1,'מדשאה'
75,1,'מלתחה'
75,1,'מקלדת'
75,1,'עציץ'
75,0,'גבעה'
75,1,'חליל'
75,1,'שדכן'
75,1,'עגלה'
75,1,'דגן'
75,1,'ארון'
75,1,'כובע'
75,0,'שליח'
75,0,'מחק'
75,0,'רמקול'
75,1,'מכולת'
76,0,'דיג'
